secp256k1,0xc391fa61f3ada96dbaf3eb1e4bf40a4e0a0b9314c8e4702cf0e9e09ee7d55518,0xf83a453d60058027e9477ff864e2f55d544608bc310e06454282aabb6b101009
3efaa3aa88e62e978f2ab5f00de2a083eab3b09dcb66486a52c9b5ffdcd1d668,-1bac25387a9bb88c2069650c034b058ad47e9575b8331124d9c5d5c93e54a690,32
2b3c2eb3277e5476c40f15bf1288d84e7e89a77282f8672e558846df8b3e83e0,-5a190c5d3f15d0fa3f925a48aeb6faccb434dad272291f615695e570c10f9581,32
ee007708d6963f8acf8940177f406b12c1c12ba7ba55413f3a2304db583fd9c5,-529ff6f34928c9bcc394ce59454631897be89018bb237d7f42b7ebf25c40b548,31
99b68bd94c3806dacd89294ecde4dca3ee2134a6c67e5b8e220b6e3d5f32f5d9,-7627147e1133b9c716ce822f14d4d2224303c4c4d4cb32fd63d25a7c80a63423,32
9dac6a5d180eceb18693618fc7129b817e34e8e486656ce80b71e9e384f4ac61,-215dd42b3722a844e3b90d4f2e7e676a66b8e30a2d62c2cd00398e9789b1d121,32
edace972b604841d60fbaf09e418ce349eb8e46cf685d56651d4ef07dfb3c5b5,-77f7792e77652d1f05c8c13096c2636c45d33d02ba02cc19e65e9cfeb3899bf2,32
653a7e3e8b4d672a403206163f53a2c92391b5f3e8b07abc10babf76187a2423,-59494e366769c5d728fde7f84d639db2c0e73f16c4359a9b7b437298e39dcc40,32
b0b4ffce09259ccb148b6df331c43e83c3f0670ed7905d20be56f7d5e618cd21,-4a05a2910dc8f0695d0bec9ab358dbc1bc00fe6e78d15abff8c3feeeea2331ff,31
211eeb7732eaf70a3c195e6e7cd11bb94eae0e34ee932b82c9550a9d2fc1ae97,-0b5ad3bed58b233f236f9e1b957499e5cc7957121de6fad6b436970e74927036,31
980b65c66bc25bc0103f759bc83a990b59183a829796648ff7fe8421e13dbcb0,-3e6f361d79c69efdd735aadbb6930ca5fa9795594f14e6c8d9446f7b42997d8c,32
703f741658b2bdd882fd5801be1670684527c6edffeac5bd9c7e1cd2d1789d75,-40451e624fffb6054bce524751a35aa9e13fa718bbc816574bb8e0771635673c,31
3b4789fb5302e604f9f5c1bf78d0cd74dfe6eded146abe436cd5e1761b3445db,-7cd32aab79c523038aae1cea941c8d5394535d6d0290c5467c83181b78f043ae,31
b7d2089a433f2fbc67e7706700b21ef0685549058eec951f067938f781ff3401,-0e2e5c05e28fd86754a7ff567ce04e653c1cd7b1333fe1d0f8c84322fdd7e823,32
e63c6783579510e34bcd0048bb715062b2155aa6d93d2e861288b262222afa87,-796df160886c47178f019f3fe875717eb5b3490285fcb0de602b9b0a230b0c2f,32
c9f3ba3b67cb0100ff4b242aec918627e31de266f9fb79dc377c778cc880c812,-479bda9e79f14a33225e267f8bbb2a3772cd76f60faa68fc6b0805c3ce6be39b,32
ae4757b123b8a4a1b84ffac604a97fb87fa76a602597aceba7a1992320874c29,-3813408e8b0b93d7f240329d911d910ec9553305434e0b2713c269397cfd5f2a,31
29515c0a15fcaa8729135c3f88f0a9b0415c04ed218ebd699f80cc4dd773d07c,-1217773bda06c583421264a9843179ed6490ed2b7d596e32a9f89e55980c8083,32
87deea11971cd2deafd6707a19050bc44bca85e690658d125cb436df61f3c3b9,-5953d348e46462dec9374c3c0b763899548d8d5efd1d9e0577c5357c9b036709,32
6c46712f0e2a90eebc3f874cdad9e4b59c01bb06b842f04a3a1c317e633c346d,-5ef0266a8c8d66a3e2079a7c5ec080d23297a6d336a5a035ca022f9b40ae819e,32
d8abf8f51691034e2581ae11f5851eb34952cf758033f23fcd7618dc61dd1d42,-33498d0febe968793bde2b26fcac51c182b71fbad130afad7232a6853bb2347d,32
27f04f199371ec1d0b6f7150ba9c8362a5770eec203952d83a4313d607457f01,7f9e8e53c375e63b9f09d7ef78544b7bce77b3a45c3d775bedcfe556e7efe2ac,31
66b8fed778052b83e75d113ab90259bcebb1637b6fb730d31a3cfaf80e67f10d,-628151a3a74c9df338a9ac6ab34d824150d246b3cfde94e3947d6d39aa3ffa5d,32
d7773872beb916ba6fe05dff6b77c21758d37ded458f4f1d89b5db78500b2b86,-673dd558b44b7b3fd479ef5e963f2ba1726fcf7c44e7e473ef12d73f91b1b69f,31
75166ad3ee09876aa67929ed33b6ff9f260a4a45689dfee5eae1850d22a7567c,-2f8becbde99e7569c254462431e21daa0033b302a4ee180f03b6762108812abb,31
938e67b55e894af50709b14df7c987c1ecf21e21f18226e411e16c8fca7547b5,-3914df49971a468d17ce0c1d137cab0015878e1e4ff3b13d758b1e20b9c5922d,32
ac9f9abc1d2628f45e9e2a327dffe7ec05b0a7cd758eec0a5a3a3be049ca7236,-6f6f304286212d461cf78eb078c3f8b8f18ccfb50e77511484a7aebe456e3286,32
96b6c10e1c241ddd1d66186a00b9efd76a308b98f615d34450be8e78ca87a47b,-3508e3b1042f0427be239fa3661800e73412f480b35c21e47232190072349b73,32
65d2a44127d7865bdc45e9a329c4aeaaef88e8c111a2b6620fe9167dd39141b8,-55b0632cb5bc6386241a7e940dcd77f9af6e222615fa7dd4f9ae4fe3dbfece90,31
959b45ccd79e61825d6c7453116f4c516e6341127ede13f8899ba978a805091c,-7190c94d9abdc28ed48c35b58bb24cd9fb40f3b411d12d48078be046160dca10,31
56fd4cb94ccd06aa283d438164f71abc7d050ee6ea3a3c4b68446b8db281157c,-482e4bf01db433e7f32ee05f3fe0ca30ba7a0e9e4bd669bfcf94b4de0dd61905,31
23c5c12e4d159318cf890ac4392b405d09dd356135ed5b3ef881a277efee4208,-1999aadee6b012c9f0593aa5e3c773417b042e1ad3baf1b9da1419e0d655085d,32
0d4c7b20ce1f5a8c917cf3da01578a0ef26bc9fb218bd6093bf381a9464d1614,-6005d97e4c5b753e56d8fd88d8e7712b44ddf96c526706a1320e7e4d59559385,31
4712949d31c730f90d02df1bfd82965779fb5b5c77b9b4825dcb2110329f294a,-5944fd4b1fea67d45360c5fb1b31c516087d5158d542b227027b6fbf7d214545,31
20c250eb7aa8a02f2cd94f1691fe77f16d0a7e38af87c5deaf90bbddd386e76e,-5921037e9740fc232b17b214add98d44ee9f2335dc9e8b2fdefa1c48499a2c53,32
8288ea31ffec2c5360df373e1b5f2d1cd03e4c153f1b333449eb05df4c34e4af,-449198aaec5a6b10f87e437c623e473f7abbc3007c8f7cd956bea726cd16186a,32
976fb3f92e5ba7b36d53027f56e41ac6fe2d8293127739afd468cf99761fbef1,-51d372d86eff72c418ad312e9f4430c39823c83711333b8400d3da8b3651e62b,31
a27875ee3e3dd3b662edbbeec5f7d7d381bb2624d6559b3a76f620029b85d761,-36f73e524c63d80018d13a44a38087e7e0ce95c77a57f2af20082518176ede67,31
6fbb2caa398e438dc044f79ee78d1daf4026d2f4c59f2d5dd1d7250066158c8a,-64cf1c36846596eb51084cdadc22a75cd8f580a6a6d171ba6a5d7de2c219aa0b,32
7ba365076995456a4c0d94ae20900c3570042fd9442fdc61b1478bef97c71d98,-135463809f62395321e795b2ee43770c3fc484a5033d8aa2cb9ac4c0ea097d68,31
0a888d8ed70c9edcf9b68ff0d74caba4fe841e022d526077a91001f0e1ddd179,-136f2403a6859a14bd1b44ccd55e1ee4bec2e8b9e0794d7ec856b14df6b8e9cd,31
6db65d2ac73700e54e253498a9167689123690bf0b5d3f51f2644c5a9a09ed22,-6fe411bf2ed2480828cdbd45c75ed0febce740e47f430889da2eb0bd816ee634,31
bff1698c865f6a7cf41db082c252c603012daa9bad92aad684875f7717e53c52,-4cc42056f0becf894e34fe2bf5524d20566047a2105b7a7d66215bb5d6c5231c,31
f5be5cd0f79f709dda58d0f7f8929fede29b9635f15ad7f63776be9114f5185e,-0b7b1982fae96a05fb9f03268b445255f80850e6ed554a50d1132ff265c50418,32
21af19b247bf2e89fd889689a4b828c33d97d98ad8bfac2d968b831dc0012ae0,-09c67c20d611906bef74daebdc895e82b680e4fdf03b05f1b8a66246ff3d98d4,31
b94b7e8fd87011502c38b38564baba51c8c0c5659a28fa79b7dc5c9433e410d9,-61137c3aaf93403ec05b5cc770157391b54b7dec0ecacb837c6de3fb14433847,31
2e5422fdeaa7b96e46e59a477594166c2f8a598af162c47d9b3205f5bb96c31a,-182112903d263947a8bc4e0e4e56eae3c271b7380b92a07b7a5c08bd947d7d9b,32
d6d7f58aa7574fe19efabdb86e13351b75ab60fb6bdfbcb705d0876ae4548772,6fbe7afbc6b632aa430db4d1f653c55d93e983aef6aba6a19fc22191e7d6ffa3,31
d74a23702fd4ab42b3ea07f94d666807c6e28ace3ef09031972e8e826bc96131,-561e8e7702d7b2581fbd9273f0a3ad065d07364070da16eebf113e36d748a47f,31
7fd8de2c390f8dbf7cdc516b5ad0ae3ea224eb9c8ec2153ca097e38654cf07a5,-4590e0e532c1066784b0f2665ede5278d038da607901643b297cf26a6073cd3e,31
edb7da3607fb6c65bed3e3e5528fcb17949b98155631ce4594f34ba71983f01f,-156f679918b148ca2d93b28acdd7e6616b112a7c17c89eb5bda63d40d3080f3e,31
97280a1d78c8df3a65862aa6a3110238004e920c0a9b48c4ad3935df7182b5d9,-60432ce2756687bb35cec2aa54281ca0d6dd7f6df34efe197f5a846ca9f20bed,31
c28faeca6e1edeb16a5008e951fda1b7a0f51a3dd3685fedb537f4ecf9078bb5,-0d3805b734f7b4e08183956008990b23f2af4f04a399712f390cff2fe6808fe9,31
5be5bfb16753c5358a86b295b91177a1b92a114a387d5aa623abe6b8b2640e44,-6a04277ed0f5c8cc5d4c91f1cadc540cb6367d43d2e060db0113172309bafa91,31
0993b889a296bc2f166e1950747fc122974fb4613de08139294fff3011e8f429,-1d08ba7c19390992420c8bc2989a6049bcfed1476dcc1f74274083f4ee40fbeb,32
fcd1a187b24ccec6fb37e365f09e1d4475381be371af41993cdc6aea1de7542e,-0bd2384bb0a93bcc3e72c5b6678bfc726e446993bf37a29d0c33db054a311997,32
2717d34ba19adaac1f42009b08c90e49936c5414ad3729d924cbeaf7f5f4296e,-03260b20f06c3cd1bf3efc6e8ca71773db4a42e66b7b556be7476047e50535e3,32
e1c555b148887044cfd58984b82c0f8de1c4460b5136c12f52cddf65e7edcafb,-68769b0cd70b0551099200d9d84fd763bd32223a021ce49c13d3f3fd196f08e0,31
4b38c25f25c0dad64c3afc6639dafb37d3101d7c6d8abb2bf548bb0dc192d3b2,-2abc674dd8b57574249663a163facc0538c21ad074e98c3a57b4e86a0d6d5980,31
5b9ef23bd5427c14c83d2ba1940be3b567f843c022d0204b223aa3ef620300a8,-047a3a3d0aea940a468f2837c2c0fb3c1c7e0b9b5cc58780ef5246e7a1fd1f37,31
c3071331d715b1e3b5f4791122c1b226eb5485e74418ee9e483706e87d7a9843,-696032efb064b876ebe43465da0617d72a49c4d69a21a7a5f5f3306b6b190487,31
4a4631e569cba3381acddbb45ccdd6b5f17bce35e7d754b233bf8d57f21b1122,-387a90c8f3a617a3aa03f4b2abd32346b28b148b9e6e5c76362ea31af22d6a1c,31
48de60832a490353cc35a1af95af3fdb4374ed3d3af5b56727f224fa4a60345a,-2c12fec71164617e47e6fb692523d384f392847e83e4e0ea0a975b543cf5483b,32
c5802f8c0766c0b90aa907080808656ef0e4ac99e0f0cdb364e7a7fff170c677,-50772751cc931ec31ea53772a179ee0066e00828c7c93c8cecc1bc5711762540,32
5e8d8787efe714dd92d206bceaf7a4fb41b629241add017fc70c5779e7b37711,-472062a24d24f4ad26f5f23702309100b22de207b8f881d840c2cc6ef5e698e4,32
250e92f59d9725009ef6a3f2a2a79da5a2d145a46d9cfa370ee9502ea7dfc9dc,0a859e6c7c1bfa89ccc6d01c81f50c6cee7a0c11405bd163f7d5b366e517ba6b,32
f14e608d3e7f943d03dcd377a2482adb48a249ab0ff22a657cc234fecadc089d,-7bc533f3590591cca1fce4bf59c47455c7c99810ba5daf12bb526ee3eed03ddd,32
b135ac355300eed736eef46799358c0fdbd66b865a492ea02bdf4dd2059f23d2,-3c85fddab8e093bf525558100540299d147448b6ce07623d4cf2a517c66e41c8,31
674ba583ac0ceb9769f71163cba078a939cc7e26b2caeec15186c288e4e9e6f5,-76387e49231c5caf8cfe4a653943048a1495ae635463af61ba2c0705663ff462,32
ca847406d660e551951294522d5182995daf6788daf58402890292d5b4988ade,-3e93a7c2b88b48926304c0af783fc432875d8f1f7ca5f030a1c2cbcb198a341f,32
ac0b2d4a6a89c809f4169847f74d8144e19ab112b156208d1f0504401d9001ed,-3c6a3d7226c5a748a3248b394a7f79cddfdd882c59fd20442ab19cc93e2acf12,31
9895df5d81ced62b4a895a92a475f7261213911705afb44a82f81d17b01b16c3,-3dff005fd8fc3217140de847e9adc0c5413dc149f1737f938d2745e25a2b560f,31
6489dc7090f68f1adefcc038b1c2a7c5c8b21b687bab506cbc60cc08a33e1645,-1de038f504650e97fbacc8b000d201869aaa0d10f017cbed73d91da96239fb48,32
f17cb6201c4a3e508e67c2048c853e9e5909ace0df0f3bae459ef76556b43ddf,-5379d00c1dc8455348ba045b323cabf7e19a57db434a26923eefc114e5a8cd3a,32
58764e34386193cc7003f1107149e8e2fe329374796ef8fa213cbed9440a3078,-6f4b8c536953408a1707997a2310c3b004dbdf23f9547a42e8e081d48de28863,32
cb9b150406e44d55a15ee4812d1d8d74aa8dfc06f7f4fa9e6fb318a54d0dd846,-5ed3ff600fd7e36cc3f749ac667a8c42076da4706a3b82b6ed0b84677e48a690,31
5abc11258180bb91c23d95667c34ea616d3e99e2b81cd312b23f365239817970,-6e3ffaf9ab0dc8127fb81eae557c588905fd30f7d183eaf76d650af5af4f0a0d,31
0259845b4b3e77e767e126e22709e4c5551b6642cf67a7f690194c7d84971c16,-697c95d7f6fe897b3436fd43f21aaac237e7fe103cee1d9f24a230770b2fe08e,31
651f8e00a516e73c5ee8b718575269c372c9aa6f8f570c59899adad0592085d5,-6d1d1236f03156430b8de9855a6605c018e577c5afd42b62ed7a45289483d094,31
1c67d049769e94e8180918611631074aa12697b402ab6af67ea0af9a55891b41,-34f9e074bcc6e5961b551ee831653a87eb6fc4d711cec8ae65944044efe5ca8e,32
b6d42aa74bf284e1cfb506f9d0b72c06f5f0e912dd50922e3127ff8e8c0c71b9,-4b2b99ce523a4ea70612818f91745d59a9f757399650f996602b6536b7be1aca,32
355f6a02fab24db5eeeb4db67ae03899e8b8a890c25e15ed79abc8440d08665b,-1c058c071754cd95e32031ea9a1645b9469d4e93ee5f949f32304a4a58ba165c,31
f548398dd5911a05e3327740bd7ae5ab6027c295da2c0b1cf51a661088e7930b,-407f30f1f774ebd8eb2bd40aff174a97e7b2a6f0ea57fc4e365236c3cf4cdb82,32
5d01bbf9d0d4c7244c3de6b8b2f2ce8c596c3840b7928498f917e9803b47f445,-72a4e6567206460be8ec7dc339a02092b5145cfc664f3efebc0d80611c6b772f,31
962361f9171474197125f91c6837a4ac31897ff01112ec768889c4dfb9ac264b,-76d43425baa433976f5e56ae685095390c5d2edc71bb277fa36f8094f24cdf94,31
0e4c4fd1ecc5a6feff6754a774d9c060549a9ae5a6a54050584b45995a265c19,-1e90ffaa522a88cd4b394c0965a4385feea7217bc454791a75d9cc2992e1da2f,32
060c4114c4e3e8964a42a1ba9033beb31cbbb48ae8806e3f1c5e9b6b73830faf,-515205cf1c07e1ebd7cae889c17de548d1586d26486e3b3e1ff73071810a801c,31
3edfbb15f3c5199810584b5564511b7534d5b73b98055dceec123bd168c9d310,-1c306f4f4cc7cac23319c74bcdcf153d7a5868e19ca94e78d802e3db1a38fab0,32
1250ea76e971aa5021be8e0222ec9b5e794a147949a40ce50468db84fcdc0c3f,-2e3c9a418a45883660f77ec1ec9efd8ea20e86ee8cb6eef7d5c8602d8caa3d4b,31
32584054b067df1e88bc8e36abb25c8baf030ca3a0eda3b385cc873cb48d959f,4ef62357ea86753702723bd0436656d46f1b27e6f3f4c1c5b6d1de8e49baa4db,31
